"","fold","cvsplit","dimred","learner_id","auc","cell_selection","Model_training_phase","learner"
"178","fold1","CVsplit4","corrgpca","learner28",0.666666666666667,"all_cells","validation",NA
"179","fold1","CVsplit4","corrgpca","learner29",0.666666666666667,"all_cells","validation",NA
"180","fold1","CVsplit4","corrgpca","learner30",0.777777777777778,"all_cells","validation",NA
"181","fold1","CVsplit4","corrgpca","learner31",0.777777777777778,"all_cells","validation",NA
"182","fold1","CVsplit4","corrgpca","learner32",0.666666666666667,"all_cells","validation",NA
"183","fold1","CVsplit4","corrgpca","learner33",0.666666666666667,"all_cells","validation",NA
"184","fold1","CVsplit4","corrgpca","learner34",0.777777777777778,"all_cells","validation",NA
"185","fold1","CVsplit4","corrgpca","learner35",0.666666666666667,"all_cells","validation",NA
"186","fold1","CVsplit4","corrgpca","learner36",0.777777777777778,"all_cells","validation",NA
"187","fold1","CVsplit4","corrgpca","learner37",0.777777777777778,"all_cells","validation",NA
"188","fold1","CVsplit4","corrgpca","learner38",0.777777777777778,"all_cells","validation",NA
"189","fold1","CVsplit4","corrgpca","learner39",0.666666666666667,"all_cells","validation",NA
"190","fold1","CVsplit4","corrgpca","learner40",0.777777777777778,"all_cells","validation",NA
"191","fold1","CVsplit4","corrgpca","learner41",0.666666666666667,"all_cells","validation",NA
"192","fold1","CVsplit4","corrgpca","learner42",0.777777777777778,"all_cells","validation",NA
"193","fold1","CVsplit4","corrgpca","learner43",0.666666666666667,"all_cells","validation",NA
"194","fold1","CVsplit4","corrgpca","learner44",0.777777777777778,"all_cells","validation",NA
"195","fold1","CVsplit4","corrgpca","learner45",0.666666666666667,"all_cells","validation",NA
"196","fold1","CVsplit4","corrgpca","learner46",0.666666666666667,"all_cells","validation",NA
"197","fold1","CVsplit4","corrgpca","learner47",0.666666666666667,"all_cells","validation",NA
"198","fold1","CVsplit4","corrgpca","learner48",0.777777777777778,"all_cells","validation",NA
"199","fold1","CVsplit4","corrgpca","learner49",0.777777777777778,"all_cells","validation",NA
"200","fold1","CVsplit4","corrgpca","learner50",0.666666666666667,"all_cells","validation",NA
"201","fold1","CVsplit5","corrgpca","learner01",0.666666666666667,"all_cells","validation",NA
"202","fold1","CVsplit5","corrgpca","learner02",0.777777777777778,"all_cells","validation",NA
"203","fold1","CVsplit5","corrgpca","learner03",0.666666666666667,"all_cells","validation",NA
"204","fold1","CVsplit5","corrgpca","learner04",0.666666666666667,"all_cells","validation",NA
"205","fold1","CVsplit5","corrgpca","learner05",0.444444444444444,"all_cells","validation",NA
"206","fold1","CVsplit5","corrgpca","learner06",0.666666666666667,"all_cells","validation",NA
"207","fold1","CVsplit5","corrgpca","learner07",0.555555555555556,"all_cells","validation",NA
"208","fold1","CVsplit5","corrgpca","learner08",0.666666666666667,"all_cells","validation",NA
