learner_uid,dimred,auc
CVsplit2_corrgpca_learner23,corrGPCA,0.75
CVsplit2_corrgpca_learner20,corrGPCA,0.833333333333333
CVsplit2_pca_learner17,PCA,0.75
CVsplit1_corrgpca_learner10,corrGPCA,0.833333333333333
CVsplit2_corrgpca_learner34,corrGPCA,0.833333333333333
CVsplit2_corrgpca_learner50,corrGPCA,0.666666666666667
CVsplit1_pca_learner31,PCA,0.833333333333333
CVsplit3_pca_learner09,PCA,0.833333333333333
CVsplit2_pca_learner42,PCA,0.583333333333333
CVsplit1_corrgpca_learner07,corrGPCA,0.833333333333333
CVsplit2_corrgpca_learner11,corrGPCA,0.75
CVsplit2_pca_learner15,PCA,0.583333333333333
CVsplit2_pca_learner05,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner02,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner24,corrGPCA + PCA,0.916666666666667
CVsplit2_corrgpca_pca_learner12,corrGPCA + PCA,0.833333333333333
CVsplit1_pca_learner47,PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner33,corrGPCA + PCA,0.5
CVsplit2_corrgpca_learner12,corrGPCA,0.666666666666667
CVsplit1_corrgpca_pca_learner50,corrGPCA + PCA,0.916666666666667
CVsplit1_pca_learner18,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner06,corrGPCA + PCA,0.75
CVsplit1_pca_learner38,PCA,0.75
CVsplit2_corrgpca_pca_learner30,corrGPCA + PCA,0.666666666666667
CVsplit2_pca_learner01,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner10,corrGPCA + PCA,0.75
CVsplit1_corrgpca_learner45,corrGPCA,0.833333333333333
CVsplit1_pca_learner40,PCA,0.75
CVsplit2_pca_learner36,PCA,0.583333333333333
CVsplit2_pca_learner41,PCA,0.75
CVsplit2_pca_learner26,PCA,0.666666666666667
CVsplit1_corrgpca_learner34,corrGPCA,0.75
CVsplit2_pca_learner23,PCA,0.666666666666667
CVsplit2_pca_learner22,PCA,0.75
CVsplit2_pca_learner18,PCA,0.75
CVsplit2_corrgpca_pca_learner23,corrGPCA + PCA,0.833333333333333
CVsplit2_pca_learner04,PCA,0.583333333333333
CVsplit2_pca_learner12,PCA,0.666666666666667
CVsplit2_pca_learner03,PCA,0.666666666666667
CVsplit2_pca_learner08,PCA,0.75
CVsplit1_corrgpca_pca_learner22,corrGPCA + PCA,0.916666666666667
CVsplit1_corrgpca_pca_learner47,corrGPCA + PCA,0.833333333333333
CVsplit2_corrgpca_learner45,corrGPCA,0.75
CVsplit1_pca_learner23,PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner27,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner07,corrGPCA + PCA,0.833333333333333
CVsplit1_corrgpca_pca_learner27,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner07,corrGPCA + PCA,0.833333333333333
